               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096294,            0.076838,            0.063463,            0.011294,               0.225,           0.0091426,           0.0020018,            0.079605,             0.12367,            0.062226,             0.00251,             0.00251,             0.07741
                   1,            0.087612,            0.081106,            0.061994,             0.11989,             0.32212,            0.018542,           0.0050412,            0.074414,             0.11309,            0.060617,           0.0050295,           0.0050295,             0.05473
                   2,             0.08195,            0.072553,            0.060151,             0.05878,              0.1369,            0.037284,            0.006941,            0.070461,             0.10604,            0.058031,            0.007547,            0.007547,            0.032047
                   3,            0.074882,             0.06631,             0.05718,            0.099224,             0.33059,            0.075466,            0.025046,            0.075353,             0.10175,            0.057557,           0.0099911,           0.0099911,           0.0099911
                   4,            0.063429,            0.060767,            0.053941,             0.12762,             0.58486,             0.13879,            0.045799,            0.049488,            0.096911,            0.051543,           0.0099911,           0.0099911,           0.0099911
                   5,             0.05387,            0.054131,            0.052173,             0.18326,              0.5252,             0.18748,            0.084145,            0.051233,             0.08187,             0.05305,           0.0099842,           0.0099842,           0.0099842
                   6,            0.046135,            0.050239,            0.051759,             0.19201,             0.83343,              0.2884,             0.17155,            0.031946,            0.074747,            0.048598,           0.0099753,           0.0099753,           0.0099753
                   7,            0.041252,            0.042549,            0.050571,             0.16979,             0.65982,             0.22149,             0.13338,            0.047138,            0.076062,            0.052092,           0.0099645,           0.0099645,           0.0099645
                   8,            0.038626,            0.040243,            0.049881,             0.25009,              0.8506,             0.32266,             0.19451,            0.025868,            0.069334,            0.048056,           0.0099517,           0.0099517,           0.0099517
                   9,            0.034006,            0.037429,            0.049365,             0.26375,             0.93663,             0.37203,             0.23584,            0.026069,            0.063641,            0.047093,            0.009937,            0.009937,            0.009937
                  10,            0.032527,            0.036092,            0.049012,             0.30601,             0.84771,             0.41294,             0.32048,            0.020837,              0.0544,             0.04686,           0.0099203,           0.0099203,           0.0099203
                  11,            0.031427,            0.033645,              0.0482,             0.34084,             0.61858,             0.43867,             0.34777,            0.018538,            0.054784,             0.04674,           0.0099017,           0.0099017,           0.0099017
                  12,            0.029631,             0.03247,            0.047946,             0.37218,               0.615,             0.40017,             0.28783,            0.031155,            0.068456,            0.047458,           0.0098811,           0.0098811,           0.0098811
                  13,            0.028311,             0.03096,            0.047278,             0.34271,             0.77307,             0.49119,             0.37662,            0.017946,            0.049709,            0.045212,           0.0098586,           0.0098586,           0.0098586
                  14,            0.028152,            0.029174,            0.046732,             0.35725,             0.70531,             0.44093,             0.35191,            0.021209,            0.057997,            0.045219,           0.0098342,           0.0098342,           0.0098342
                  15,            0.027114,            0.031175,            0.046068,             0.35083,             0.90105,             0.53066,             0.37965,            0.018356,            0.048462,            0.042806,           0.0098079,           0.0098079,           0.0098079
                  16,            0.025422,            0.028025,            0.045108,             0.37961,             0.79167,             0.52776,             0.38956,            0.025566,            0.048439,            0.041796,           0.0097798,           0.0097798,           0.0097798
                  17,            0.025506,            0.027652,            0.043866,             0.29522,             0.69987,             0.43473,             0.31453,            0.030613,            0.067482,            0.043816,           0.0097497,           0.0097497,           0.0097497
                  18,            0.026104,            0.026971,             0.04295,             0.38437,             0.89153,             0.54901,             0.41478,            0.017606,            0.045877,            0.039647,           0.0097178,           0.0097178,           0.0097178
                  19,            0.024516,            0.027451,            0.042075,             0.41633,             0.75621,             0.52043,             0.41975,             0.01928,            0.053592,            0.039455,            0.009684,            0.009684,            0.009684
                  20,            0.023892,            0.026045,            0.040463,             0.28368,             0.67188,             0.46539,             0.34679,            0.028782,             0.06561,            0.040021,           0.0096484,           0.0096484,           0.0096484
                  21,            0.024241,            0.026509,             0.03944,             0.40855,             0.77857,             0.47724,             0.37819,            0.021343,            0.058184,            0.038539,            0.009611,            0.009611,            0.009611
                  22,            0.024558,            0.026359,             0.03805,             0.43953,             0.82435,             0.58197,             0.47627,            0.014643,            0.041391,            0.035395,           0.0095717,           0.0095717,           0.0095717
                  23,            0.023093,            0.025338,            0.037503,             0.41944,             0.88666,             0.54274,             0.43723,            0.016993,            0.044813,            0.036166,           0.0095307,           0.0095307,           0.0095307
                  24,            0.022062,            0.025457,            0.036787,             0.33358,              0.7725,             0.50595,             0.37605,            0.023015,            0.056767,            0.036231,           0.0094879,           0.0094879,           0.0094879
                  25,            0.023526,            0.024816,            0.036432,             0.35653,             0.75453,             0.44945,             0.35455,            0.022998,            0.064238,            0.041427,           0.0094434,           0.0094434,           0.0094434
                  26,            0.021794,            0.024053,            0.036129,             0.46794,             0.79272,             0.57286,             0.47617,            0.017922,            0.050994,            0.035495,           0.0093971,           0.0093971,           0.0093971
                  27,            0.020919,             0.02442,            0.035659,             0.48751,             0.75671,             0.62292,             0.54336,            0.014138,            0.044944,            0.036915,           0.0093491,           0.0093491,           0.0093491
                  28,            0.020945,            0.023169,            0.035131,             0.59394,             0.78589,             0.72525,             0.58283,            0.016402,            0.038347,            0.033169,           0.0092995,           0.0092995,           0.0092995
                  29,            0.021701,            0.023675,            0.034713,             0.58328,             0.84395,             0.71203,              0.6108,            0.013471,            0.040597,            0.032519,           0.0092481,           0.0092481,           0.0092481
                  30,            0.020474,            0.023043,            0.034377,              0.4153,             0.90417,             0.56895,             0.43861,            0.018437,            0.051498,            0.036543,           0.0091952,           0.0091952,           0.0091952
                  31,            0.021017,            0.022915,            0.033961,             0.57011,             0.82202,              0.7303,             0.63899,            0.013939,            0.041277,             0.03161,           0.0091406,           0.0091406,           0.0091406
                  32,            0.019222,            0.022056,            0.033131,             0.52783,             0.80338,             0.71746,             0.62568,            0.012172,            0.039439,            0.033164,           0.0090844,           0.0090844,           0.0090844
                  33,            0.018912,            0.022306,            0.032955,             0.51031,             0.81361,             0.68661,             0.57564,            0.014827,            0.038654,             0.03306,           0.0090266,           0.0090266,           0.0090266
                  34,             0.02026,            0.022334,            0.032672,             0.61169,             0.83157,             0.74054,              0.6319,            0.014858,            0.043075,            0.031452,           0.0089673,           0.0089673,           0.0089673
                  35,            0.020495,            0.022454,            0.032431,             0.60108,             0.83951,             0.81208,             0.71657,             0.01384,            0.036418,            0.027941,           0.0089065,           0.0089065,           0.0089065
                  36,            0.018755,            0.021416,            0.032025,             0.62388,              0.8473,             0.78262,              0.7044,            0.012789,            0.038336,             0.03084,           0.0088442,           0.0088442,           0.0088442
                  37,            0.018896,             0.02172,            0.030966,             0.72355,             0.60263,             0.68934,             0.58486,            0.017187,            0.050057,            0.035174,           0.0087804,           0.0087804,           0.0087804
                  38,            0.019811,            0.021549,            0.030763,             0.37503,             0.83187,             0.56527,             0.44588,            0.018676,            0.053038,            0.044121,           0.0087151,           0.0087151,           0.0087151
                  39,             0.01958,              0.0219,            0.029692,             0.71482,              0.5679,             0.61697,             0.52484,            0.019402,            0.062026,            0.037063,           0.0086485,           0.0086485,           0.0086485
                  40,            0.017829,            0.020973,            0.029331,             0.65503,             0.76849,             0.71801,             0.64821,            0.014403,            0.044412,            0.033179,           0.0085805,           0.0085805,           0.0085805
                  41,            0.018001,            0.021087,            0.028533,             0.68222,             0.76705,             0.81006,              0.7344,            0.010909,            0.033069,            0.025812,           0.0085111,           0.0085111,           0.0085111
                  42,            0.019228,            0.021087,            0.028465,             0.66685,             0.74605,             0.74096,             0.66213,            0.013844,            0.043567,            0.030875,           0.0084404,           0.0084404,           0.0084404
                  43,            0.018006,            0.021353,            0.027547,             0.71871,             0.88858,             0.86037,             0.79442,           0.0098014,            0.034354,            0.022942,           0.0083684,           0.0083684,           0.0083684
                  44,            0.018261,            0.020797,            0.026716,             0.61146,             0.77869,             0.70307,             0.62925,            0.015119,             0.05196,             0.03329,           0.0082952,           0.0082952,           0.0082952
                  45,             0.01819,            0.020681,            0.026795,             0.67657,             0.84009,             0.83505,             0.75481,            0.010446,            0.040512,            0.023941,           0.0082207,           0.0082207,           0.0082207
                  46,            0.018338,            0.021161,            0.026969,             0.57549,             0.79287,             0.67812,             0.60041,            0.012948,            0.041627,            0.038237,            0.008145,            0.008145,            0.008145
                  47,            0.017077,            0.020303,            0.025619,             0.68911,             0.79952,             0.78416,             0.70022,            0.011573,            0.037941,            0.028196,           0.0080682,           0.0080682,           0.0080682
                  48,            0.017602,            0.020408,            0.025392,             0.73056,             0.89182,             0.83832,              0.7744,            0.010279,            0.034701,            0.023359,           0.0079903,           0.0079903,           0.0079903
                  49,            0.017293,            0.020546,            0.024704,             0.62802,             0.67995,             0.63752,             0.56959,             0.01624,            0.048982,            0.034336,           0.0079112,           0.0079112,           0.0079112
                  50,            0.017362,            0.020254,            0.024908,             0.58311,              0.6116,             0.61247,             0.52368,            0.025634,            0.054831,            0.036265,           0.0078311,           0.0078311,           0.0078311
                  51,            0.016887,            0.019812,             0.02385,             0.65658,             0.69033,             0.67106,             0.60876,            0.015333,            0.052226,            0.033155,             0.00775,             0.00775,             0.00775
                  52,            0.016037,            0.019489,            0.024219,             0.75281,             0.77839,             0.75876,             0.70328,            0.011271,             0.04026,            0.028692,           0.0076679,           0.0076679,           0.0076679
                  53,            0.016541,            0.019609,            0.023522,             0.68124,             0.80807,             0.74633,             0.68268,            0.014406,               0.044,            0.031051,           0.0075848,           0.0075848,           0.0075848
                  54,            0.017091,            0.020081,            0.023394,             0.68858,             0.79096,             0.81279,             0.74984,           0.0099802,            0.045406,            0.022944,           0.0075009,           0.0075009,           0.0075009
                  55,             0.01707,            0.020033,            0.022354,             0.74111,             0.85958,             0.82985,              0.7302,            0.013183,            0.038943,            0.021967,            0.007416,            0.007416,            0.007416
                  56,            0.017575,            0.019936,            0.022358,             0.73605,             0.81534,             0.82078,             0.73849,            0.011325,            0.045474,            0.022503,           0.0073303,           0.0073303,           0.0073303
                  57,            0.015918,            0.018951,            0.022076,             0.73355,             0.76133,             0.78936,             0.70766,            0.014532,            0.039614,            0.026426,           0.0072438,           0.0072438,           0.0072438
                  58,            0.017275,            0.019766,             0.02179,             0.73357,             0.89226,             0.86993,             0.82917,           0.0079911,            0.032669,            0.016973,           0.0071566,           0.0071566,           0.0071566
                  59,            0.016074,            0.018874,            0.021509,             0.72634,             0.87085,             0.80911,               0.731,            0.011564,            0.034145,            0.022311,           0.0070686,           0.0070686,           0.0070686
                  60,            0.016114,            0.019142,            0.020728,             0.72874,             0.80726,              0.7817,             0.70595,            0.011936,            0.039422,            0.027457,           0.0069799,           0.0069799,           0.0069799
                  61,            0.015847,            0.018577,            0.021115,             0.70698,             0.67717,             0.67221,             0.58064,            0.029028,             0.05478,            0.031194,           0.0068906,           0.0068906,           0.0068906
                  62,            0.015233,            0.018581,            0.020409,             0.71972,             0.81828,             0.77428,              0.7194,            0.012923,            0.039415,            0.024005,           0.0068006,           0.0068006,           0.0068006
                  63,             0.01536,            0.018231,            0.020609,             0.70976,             0.85912,             0.82294,             0.75548,             0.01102,            0.042222,             0.01995,           0.0067101,           0.0067101,           0.0067101
                  64,            0.015471,            0.018925,             0.02015,             0.74282,             0.84987,             0.85282,             0.80211,           0.0085285,            0.035804,            0.020059,           0.0066191,           0.0066191,           0.0066191
                  65,            0.015581,            0.018747,            0.020125,             0.73868,              0.8687,             0.80316,             0.73125,             0.01214,            0.034774,            0.021484,           0.0065276,           0.0065276,           0.0065276
                  66,            0.015453,            0.018748,            0.019341,             0.72875,             0.87035,             0.84648,             0.79559,           0.0088748,            0.037534,            0.018565,           0.0064356,           0.0064356,           0.0064356
                  67,            0.015176,            0.018053,            0.019159,             0.73154,             0.84757,             0.85269,             0.78773,           0.0098748,            0.046355,            0.017292,           0.0063432,           0.0063432,           0.0063432
                  68,            0.014286,            0.017622,             0.01916,             0.72989,             0.87194,             0.84423,             0.79029,           0.0087467,            0.032992,            0.018286,           0.0062505,           0.0062505,           0.0062505
