               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.051911,            0.019905,             0.04648,             0.15929,             0.81548,             0.28354,             0.12078,            0.024966,           0.0074413,            0.026832,           0.0033327,           0.0033327,            0.070006
                   1,            0.023576,            0.011638,            0.041846,             0.32482,             0.84702,             0.33973,             0.28203,           0.0083562,           0.0036257,            0.022451,           0.0066653,           0.0066653,            0.040005
                   2,            0.018587,           0.0081131,            0.040122,             0.34346,              0.8631,             0.32252,             0.24326,            0.010296,           0.0027398,            0.024429,           0.0099954,           0.0099954,            0.010002
                   3,            0.014479,            0.006296,            0.037757,             0.37946,             0.88141,              0.3633,             0.33683,           0.0053034,           0.0027089,            0.022427,           0.0099911,           0.0099911,           0.0099911
                   4,            0.011681,            0.005158,            0.035015,             0.40258,             0.88548,             0.41828,             0.40185,           0.0048867,           0.0026958,            0.020863,           0.0099911,           0.0099911,           0.0099911
                   5,            0.010726,           0.0047288,             0.03252,             0.32553,             0.80833,             0.46819,             0.43184,            0.005367,           0.0022605,            0.022151,           0.0099842,           0.0099842,           0.0099842
                   6,            0.010049,           0.0044113,            0.029766,             0.45717,             0.87137,             0.62396,             0.58997,           0.0044299,           0.0026385,            0.015348,           0.0099753,           0.0099753,           0.0099753
                   7,           0.0096549,           0.0042318,            0.027269,             0.51007,             0.84407,             0.71072,             0.67414,           0.0045398,           0.0024159,             0.01422,           0.0099645,           0.0099645,           0.0099645
                   8,           0.0093867,           0.0040226,            0.024694,             0.58815,             0.79361,             0.73332,             0.69991,           0.0042841,           0.0022007,            0.013784,           0.0099517,           0.0099517,           0.0099517
                   9,           0.0089458,           0.0039047,            0.023346,             0.53846,             0.90101,             0.75414,               0.735,           0.0033343,           0.0020069,            0.013346,            0.009937,            0.009937,            0.009937
                  10,           0.0085489,           0.0037317,            0.022528,             0.52467,             0.92623,              0.7655,             0.73604,           0.0040787,           0.0021236,            0.011548,           0.0099203,           0.0099203,           0.0099203
                  11,           0.0083412,            0.003545,            0.021626,             0.58183,             0.90369,             0.76984,             0.75849,           0.0027163,           0.0022323,            0.011438,           0.0099017,           0.0099017,           0.0099017
                  12,           0.0080935,           0.0035287,            0.021312,             0.67462,             0.92963,             0.80927,             0.79919,           0.0025599,           0.0020993,           0.0084375,           0.0098811,           0.0098811,           0.0098811
                  13,           0.0079625,           0.0034243,            0.020827,              0.7421,             0.92659,             0.84385,             0.83869,           0.0023003,           0.0021585,           0.0071183,           0.0098586,           0.0098586,           0.0098586
                  14,           0.0077893,           0.0033846,            0.020024,             0.76919,             0.93337,             0.87735,             0.87558,           0.0023721,           0.0024123,           0.0057503,           0.0098342,           0.0098342,           0.0098342
                  15,           0.0075591,           0.0032685,             0.01892,             0.86134,             0.80977,             0.88784,             0.88593,           0.0021997,            0.002139,           0.0069027,           0.0098079,           0.0098079,           0.0098079
                  16,           0.0075299,           0.0032432,            0.018715,             0.88252,             0.85004,             0.91409,             0.91341,           0.0020336,           0.0021554,           0.0052293,           0.0097798,           0.0097798,           0.0097798
                  17,           0.0073111,           0.0031781,            0.018032,             0.84618,             0.86392,             0.90862,             0.90703,           0.0021954,           0.0021916,           0.0058758,           0.0097497,           0.0097497,           0.0097497
                  18,           0.0072657,           0.0031279,            0.017598,             0.86193,             0.91456,             0.92512,             0.92064,           0.0019623,           0.0021177,           0.0043837,           0.0097178,           0.0097178,           0.0097178
                  19,           0.0071736,           0.0030935,            0.017724,             0.88399,             0.86788,             0.93344,             0.93136,           0.0018682,           0.0023424,            0.004643,            0.009684,            0.009684,            0.009684
                  20,           0.0071506,            0.003055,            0.016784,             0.89058,             0.86849,             0.93972,             0.93957,           0.0017968,           0.0022293,           0.0045166,           0.0096484,           0.0096484,           0.0096484
                  21,           0.0069851,            0.003001,            0.016194,             0.90093,             0.84222,             0.93174,             0.93122,           0.0017962,           0.0020428,           0.0049074,            0.009611,            0.009611,            0.009611
